commodity,arrivalDate,variety,state,district,market,minPrice,maxPrice,avgPrice,market_id
Paddy(Dhan)(Common),30/10/2025,I.R. 64,Chattisgarh,Raipur,Abhanpur,Rs 2040 / Quintal,Rs 2100 / Quintal,Rs 2081 / Quintal,abhanpur
Paddy(Dhan)(Common),29/10/2025,I.R. 64,Chattisgarh,Raipur,Abhanpur,Rs 2095 / Quintal,Rs 2100 / Quintal,Rs 2097 / Quintal,abhanpur
Paddy(Dhan)(Common),28/10/2025,D.B.,Chattisgarh,Raipur,Abhanpur,Rs 2085 / Quintal,Rs 2100 / Quintal,Rs 2091 / Quintal,abhanpur
Paddy(Dhan)(Common),23/10/2025,I.R. 64,Chattisgarh,Raipur,Abhanpur,Rs 2085 / Quintal,Rs 2095 / Quintal,Rs 2090 / Quintal,abhanpur
Paddy(Dhan)(Common),14/10/2025,I.R. 64,Chattisgarh,Raipur,Abhanpur,Rs 2095 / Quintal,Rs 2095 / Quintal,Rs 2095 / Quintal,abhanpur
Paddy(Dhan)(Common),13/10/2025,I.R. 64,Chattisgarh,Raipur,Abhanpur,Rs 2085 / Quintal,Rs 2085 / Quintal,Rs 2085 / Quintal,abhanpur
Paddy(Dhan)(Common),09/10/2025,MTU-1010,Chattisgarh,Raipur,Abhanpur,Rs 2095 / Quintal,Rs 2095 / Quintal,Rs 2095 / Quintal,abhanpur
Paddy(Dhan)(Common),08/10/2025,MTU-1010,Chattisgarh,Raipur,Abhanpur,Rs 2093 / Quintal,Rs 2093 / Quintal,Rs 2093 / Quintal,abhanpur
Paddy(Dhan)(Common),06/10/2025,MTU-1010,Chattisgarh,Raipur,Abhanpur,Rs 2100 / Quintal,Rs 2100 / Quintal,Rs 2100 / Quintal,abhanpur
Paddy(Dhan)(Common),03/10/2025,MTU-1010,Chattisgarh,Raipur,Abhanpur,Rs 2095 / Quintal,Rs 2095 / Quintal,Rs 2095 / Quintal,abhanpur
Tomato,01/11/2025,Other,Rajasthan,Sirohi,Abu Road,Rs 475 / Quintal,Rs 525 / Quintal,Rs 500 / Quintal,abu-road
Tomato,30/10/2025,Other,Rajasthan,Sirohi,Abu Road,Rs 775 / Quintal,Rs 825 / Quintal,Rs 800 / Quintal,abu-road
Potato,24/10/2025,Other,Rajasthan,Sirohi,Abu Road,Rs 1575 / Quintal,Rs 1625 / Quintal,Rs 1600 / Quintal,abu-road
Tomato,24/10/2025,Other,Rajasthan,Sirohi,Abu Road,Rs 975 / Quintal,Rs 1025 / Quintal,Rs 1000 / Quintal,abu-road
